pfam_acc	evalue
zzz	PF11723.9	1
zzz	PF15684.6	1
zzz	PF05856.13	1
zzz	PF12120.9	1
zzz	PF02752.23	1
zzz	PF00339.30	1
zzz	PF04959.14	1
zzz	PF02374.16	1
zzz	PF17886.2	1
zzz	PF02040.16	1
zzz	PF03960.16	1
zzz	PF06953.12	1
zzz	PF03773.14	1
zzz	PF11449.9	1
zzz	PF09824.10	1
zzz	PF01129.19	1
zzz	PF18760.2	1
zzz	PF18084.2	1
zzz	PF01606.17	1
zzz	PF00951.19	1
zzz	PF02497.16	1
zzz	PF16749.6	1
zzz	PF01481.17	1
zzz	PF04161.14	1
zzz	PF01731.21	1
zzz	PF05935.12	1
zzz	PF14269.7	1
zzz	PF17425.3	1
zzz	PF00858.25	1
zzz	PF04266.15	1
zzz	PF08688.11	1
zzz	PF08687.12	1
zzz	PF04729.14	1
zzz	PF01671.17	1
zzz	PF05568.12	1
zzz	PF05293.12	1
zzz	PF06556.12	1
zzz	PF15780.6	1
zzz	PF15323.7	1
zzz	PF09010.11	1
zzz	PF19039.1	1
zzz	PF08328.12	1
zzz	PF14698.7	1
zzz	PF05170.15	1
zzz	PF13109.7	1
zzz	PF13502.7	1
zzz	PF03590.16	1
zzz	PF01037.22	1
zzz	PF17805.2	1
zzz	PF00733.22	1
zzz	PF00026.24	1
zzz	PF06826.13	1
zzz	PF05279.12	1
zzz	PF16993.6	1
zzz	PF16929.6	1
zzz	PF03780.14	1
zzz	PF16996.6	1
zzz	PF17000.6	1
zzz	PF00710.21	1
zzz	PF01112.19	1
zzz	PF17763.2	1
zzz	PF06089.13	1
zzz	PF17641.3	1
zzz	PF14521.7	1
zzz	PF05118.16	1
zzz	PF02261.17	1
zzz	PF01177.23	1
zzz	PF14669.7	1
zzz	PF09668.11	1
zzz	PF13650.7	1
zzz	PF06392.12	1
zzz	PF07100.12	1
zzz	PF04958.13	1
zzz	PF01400.25	1
zzz	PF04996.13	1
zzz	PF04952.15	1
zzz	PF18577.2	1
zzz	PF03115.15	1
zzz	PF12226.9	1
zzz	PF16580.6	1
zzz	PF13919.7	1
zzz	PF15321.7	1
zzz	PF14196.7	1
zzz	PF04377.16	1
zzz	PF04376.14	1
zzz	PF16788.6	1
zzz	PF07855.13	1
zzz	PF10377.10	1
zzz	PF10033.10	1
zzz	PF10186.10	1
zzz	PF08614.12	1
zzz	PF12744.8	1
zzz	PF11700.9	1
zzz	PF09451.11	1
zzz	PF18388.2	1
zzz	PF13329.7	1
zzz	PF09795.10	1
zzz	PF16420.6	1
zzz	PF02991.17	1
zzz	PF09333.12	1
zzz	PF03078.16	1
zzz	PF07737.12	1
zzz	PF03477.17	1
zzz	PF02222.23	1
zzz	PF08442.11	1
zzz	PF02655.15	1
zzz	PF13535.7	1
zzz	PF13549.7	1
zzz	PF18419.2	1
zzz	PF00217.20	1
zzz	PF02807.16	1
zzz	PF01747.18	1
zzz	PF00231.20	1
zzz	PF05176.15	1
zzz	PF00895.21	1
zzz	PF00119.21	1
zzz	PF00006.26	1
zzz	PF00306.28	1
zzz	PF02874.24	1
zzz	PF16886.6	1
zzz	PF00430.19	1
zzz	PF00137.22	1
zzz	PF01813.18	1
zzz	PF00401.21	1
zzz	PF02823.17	1
zzz	PF05680.13	1
zzz	PF04627.14	1
zzz	PF08112.12	1
zzz	PF01990.18	1
zzz	PF05511.12	1
zzz	PF04718.16	1
zzz	PF03899.16	1
zzz	PF04911.13	1
zzz	PF05827.13	1
zzz	PF16594.6	1
zzz	PF06644.12	1
zzz	PF07542.12	1
zzz	PF12921.8	1
zzz	PF11022.9	1
zzz	PF02038.17	1
zzz	PF06745.14	1
zzz	PF12156.9	1
zzz	PF01637.19	1
zzz	PF09527.11	1
zzz	PF18130.2	1
zzz	PF14397.7	1
zzz	PF15632.7	1
zzz	PF14305.7	1
zzz	PF14398.7	1
zzz	PF12966.8	1
zzz	PF03029.18	1
zzz	PF03668.16	1
zzz	PF01171.21	1
zzz	PF12424.9	1
zzz	PF10775.10	1
zzz	PF14960.7	1
zzz	PF05493.14	1
zzz	PF09830.10	1
zzz	PF16829.6	1
zzz	PF05353.12	1
zzz	PF03154.16	1
zzz	PF15445.7	1
zzz	PF06232.12	1
zzz	PF11263.9	1
zzz	PF03769.16	1
zzz	PF03768.16	1
zzz	PF18800.2	1
zzz	PF08037.12	1
zzz	PF11512.9	1
zzz	PF07287.12	1
zzz	PF09759.10	1
zzz	PF12547.9	1
zzz	PF08098.12	1
zzz	PF18461.2	1
zzz	PF02178.20	1
zzz	PF18637.2	1
zzz	PF15187.7	1
zzz	PF11583.9	1
zzz	PF09041.11	1
zzz	PF03472.16	1
zzz	PF00765.18	1
zzz	PF03987.16	1
zzz	PF03797.20	1
zzz	PF06677.13	1
zzz	PF15336.7	1
zzz	PF02041.17	1
zzz	PF05703.12	1
zzz	PF02519.15	1
zzz	PF05564.13	1
zzz	PF06507.14	1
zzz	PF02309.17	1
zzz	PF17198.5	1
zzz	PF03708.15	1
zzz	PF01382.18	1
zzz	PF11599.9	1
zzz	PF09794.10	1
zzz	PF05394.12	1
zzz	PF05655.12	1
zzz	PF11725.9	1
zzz	PF11529.9	1
zzz	PF18661.2	1
zzz	PF18241.2	1
zzz	PF18247.2	1
zzz	PF09143.11	1
zzz	PF11592.9	1
zzz	PF09046.11	1
zzz	PF16847.6	1
zzz	PF05627.12	1
zzz	PF06536.12	1
zzz	PF05512.12	1
zzz	PF17907.2	1
zzz	PF05448.13	1
zzz	PF08517.13	1
zzz	PF16646.6	1
zzz	PF08833.11	1
zzz	PF10211.10	1
zzz	PF03591.15	1
